instance_id,method,source,capacity_max,runtime_med,best_overall_capacity,gap_pct_min
knapsack_n100_seed20251020,ParticleSwarmOptimization,classical,25554.0,0.3259946999605745,25554.0,0.0
knapsack_n100_seed20251020,Greedy_Ratio,classical,25442.0,9.06999921426177e-05,25554.0,0.4382875479377006
knapsack_n100_seed20251020,GeneticAlgorithm,classical,25404.0,0.2117884000763297,25554.0,0.5869922517022775
knapsack_n100_seed20251020,AntColonyOptimization,classical,24739.0,0.7556514999596402,25554.0,3.1893245675823745
knapsack_n100_seed20251020,Greedy_Weight,classical,21611.0,6.500002928078175e-05,25554.0,15.43006965641387
knapsack_n100_seed20251020,Greedy_Value,classical,20224.0,7.230008486658335e-05,25554.0,20.857791343820928
knapsack_n100_seed20251020,QuantumAnnealing,quantum,17483.0,1.2839766999240965,25554.0,31.584096423260544
knapsack_n100_seed20251023,Greedy_Ratio,classical,39931.0,5.67000824958086e-05,39931.0,0.0
knapsack_n100_seed20251023,ParticleSwarmOptimization,classical,39931.0,0.3160855999449268,39931.0,0.0
knapsack_n100_seed20251023,GeneticAlgorithm,classical,39917.0,0.22070419997908175,39931.0,0.0350604793268388
knapsack_n100_seed20251023,AntColonyOptimization,classical,39470.0,0.7326047000242397,39931.0,1.1544914978337633
knapsack_n100_seed20251023,Greedy_Value,classical,38146.0,4.47999918833375e-05,39931.0,4.4702111141719465
knapsack_n100_seed20251023,Greedy_Weight,classical,34385.0,4.270009230822325e-05,39931.0,13.888958453331998
knapsack_n100_seed20251023,QuantumAnnealing,quantum,27812.0,1.373657300020568,39931.0,30.349853497282815
knapsack_n100_seed20251026,Greedy_Ratio,classical,45613.0,6.150000263005495e-05,45613.0,0.0
knapsack_n100_seed20251026,ParticleSwarmOptimization,classical,45613.0,0.3155856999801472,45613.0,0.0
knapsack_n100_seed20251026,AntColonyOptimization,classical,45543.0,0.7518599000759423,45613.0,0.15346502093701356
knapsack_n100_seed20251026,Greedy_Value,classical,45130.0,5.509995389729738e-05,45613.0,1.0589086444653937
knapsack_n100_seed20251026,GeneticAlgorithm,classical,43775.0,0.2075968999415636,45613.0,4.029552978317585
knapsack_n100_seed20251026,Greedy_Weight,classical,42233.0,4.67000063508749e-05,45613.0,7.410168153815798
knapsack_n100_seed20251026,QuantumAnnealing,quantum,39301.0,1.3383845000062138,45613.0,13.838160173634709
knapsack_n100_seed20251120,ParticleSwarmOptimization,classical,18691.0,0.3216008000308648,18691.0,0.0
knapsack_n100_seed20251120,GeneticAlgorithm,classical,18610.0,0.19312210008502007,18691.0,0.43336365095500506
knapsack_n100_seed20251120,Greedy_Ratio,classical,18548.0,6.580003537237644e-05,18691.0,0.7650740998341448
knapsack_n100_seed20251120,AntColonyOptimization,classical,16909.0,0.7628866001032293,18691.0,9.534000321010112
knapsack_n100_seed20251120,Greedy_Weight,classical,16814.0,3.759993705898523e-05,18691.0,10.04226633138944
knapsack_n100_seed20251120,Greedy_Value,classical,15398.0,3.850006032735109e-05,18691.0,17.618104970306565
knapsack_n100_seed20251120,QuantumAnnealing,quantum,14424.0,1.579930300009437,18691.0,22.829169118827245
knapsack_n100_seed20251123,GeneticAlgorithm,classical,33418.0,0.2163411999354139,33418.0,0.0
knapsack_n100_seed20251123,ParticleSwarmOptimization,classical,33418.0,0.3232258999487385,33418.0,0.0
knapsack_n100_seed20251123,Greedy_Ratio,classical,33343.0,6.690004374831915e-05,33418.0,0.22442994793225207
knapsack_n100_seed20251123,AntColonyOptimization,classical,32716.0,0.7610737999202684,33418.0,2.1006643126458795
knapsack_n100_seed20251123,Greedy_Weight,classical,31274.0,3.870006185024977e-05,33418.0,6.4157041115566456
knapsack_n100_seed20251123,Greedy_Value,classical,31216.0,3.8800062611699104e-05,33418.0,6.589263271290921
knapsack_n100_seed20251123,QuantumAnnealing,quantum,26556.0,1.4043422000249848,33418.0,20.53384403614818
knapsack_n100_seed20251126,ParticleSwarmOptimization,classical,43669.0,0.31013050000183284,43669.0,0.0
knapsack_n100_seed20251126,Greedy_Ratio,classical,43562.0,5.1600043661892414e-05,43669.0,0.2450250749959926
knapsack_n100_seed20251126,AntColonyOptimization,classical,43041.0,0.7893765999469906,43669.0,1.4380910943690033
knapsack_n100_seed20251126,Greedy_Value,classical,42599.0,4.2199972085654736e-05,43669.0,2.4502507499599258
knapsack_n100_seed20251126,GeneticAlgorithm,classical,42549.0,0.20772679999936372,43669.0,2.564748448556184
knapsack_n100_seed20251126,Greedy_Weight,classical,41955.0,4.169996827840805e-05,43669.0,3.9249811078797316
knapsack_n100_seed20251126,QuantumAnnealing,quantum,38738.0,1.5839940999867395,43669.0,11.291763035562985
knapsack_n100_seed20251220,ParticleSwarmOptimization,classical,2064.0,0.31250070000533015,2064.0,0.0
knapsack_n100_seed20251220,Greedy_Ratio,classical,2063.0,5.170004442334175e-05,2064.0,0.04844961240310078
knapsack_n100_seed20251220,AntColonyOptimization,classical,2062.0,0.7735638999147341,2064.0,0.09689922480620156
knapsack_n100_seed20251220,GeneticAlgorithm,classical,2052.0,0.20481309993192554,2064.0,0.5813953488372093
knapsack_n100_seed20251220,Greedy_Weight,classical,1984.0,4.009995609521866e-05,2064.0,3.875968992248062
knapsack_n100_seed20251220,QuantumAnnealing,quantum,1974.0,2.340983900008723,2064.0,4.3604651162790695
knapsack_n100_seed20251220,Greedy_Value,classical,1966.0,3.739993553608656e-05,2064.0,4.748062015503876
knapsack_n100_seed20251223,AntColonyOptimization,classical,1332.0,0.7277758000418544,1332.0,0.0
knapsack_n100_seed20251223,GeneticAlgorithm,classical,1332.0,0.19109420001041144,1332.0,0.0
knapsack_n100_seed20251223,Greedy_Ratio,classical,1332.0,4.950002767145634e-05,1332.0,0.0
knapsack_n100_seed20251223,Greedy_Value,classical,1332.0,3.830005880445242e-05,1332.0,0.0
knapsack_n100_seed20251223,Greedy_Weight,classical,1332.0,3.670004662126303e-05,1332.0,0.0
knapsack_n100_seed20251223,ParticleSwarmOptimization,classical,1332.0,0.3062047999119386,1332.0,0.0
knapsack_n100_seed20251223,QuantumAnnealing,quantum,1246.0,2.3369107000762597,1332.0,6.456456456456457
knapsack_n100_seed20251226,AntColonyOptimization,classical,2194.0,0.776786100002937,2194.0,0.0
knapsack_n100_seed20251226,Greedy_Ratio,classical,2194.0,5.4200063459575176e-05,2194.0,0.0
knapsack_n100_seed20251226,Greedy_Weight,classical,2194.0,3.700004890561104e-05,2194.0,0.0
knapsack_n100_seed20251226,ParticleSwarmOptimization,classical,2194.0,0.3004188999766484,2194.0,0.0
knapsack_n100_seed20251226,Greedy_Value,classical,2184.0,5.1200040616095066e-05,2194.0,0.4557885141294439
knapsack_n100_seed20251226,GeneticAlgorithm,classical,2180.0,0.18342280003707856,2194.0,0.6381039197812215
knapsack_n100_seed20251226,QuantumAnnealing,quantum,2095.0,2.3244249999988824,2194.0,4.512306289881495
knapsack_n250_seed20251021,ParticleSwarmOptimization,classical,63432.0,0.8821652000769973,63432.0,0.0
knapsack_n250_seed20251021,Greedy_Ratio,classical,63312.0,0.00018710002768784761,63432.0,0.18917896329928113
knapsack_n250_seed20251021,GeneticAlgorithm,classical,62020.0,0.5285997999599203,63432.0,2.2260058014882076
knapsack_n250_seed20251021,AntColonyOptimization,classical,60957.0,4.006426899926737,63432.0,3.901816118047673
knapsack_n250_seed20251021,Greedy_Weight,classical,50920.0,0.00012909993529319763,63432.0,19.72505990667171
knapsack_n250_seed20251021,Greedy_Value,classical,46908.0,0.00013230007607489824,63432.0,26.04994324631101
knapsack_n250_seed20251021,QuantumAnnealing,quantum,39812.0,6.138230100041255,63432.0,37.236725942741835
knapsack_n250_seed20251024,Greedy_Ratio,classical,103886.0,0.0001284999307245016,103886.0,0.0
knapsack_n250_seed20251024,ParticleSwarmOptimization,classical,103847.0,0.8569738999940455,103886.0,0.03754115087692278
knapsack_n250_seed20251024,AntColonyOptimization,classical,101518.0,3.9444345999509096,103886.0,2.2794216737577733
knapsack_n250_seed20251024,Greedy_Value,classical,99874.0,0.00010830000974237919,103886.0,3.8619255722619026
knapsack_n250_seed20251024,GeneticAlgorithm,classical,99493.0,0.5419534000102431,103886.0,4.228673738521071
knapsack_n250_seed20251024,Greedy_Weight,classical,90226.0,0.00010279996786266565,103886.0,13.14902874304526
knapsack_n250_seed20251024,QuantumAnnealing,quantum,74059.0,4.772893299930729,103886.0,28.7112796719481
knapsack_n250_seed20251027,Greedy_Ratio,classical,121865.0,0.00014899997040629387,121865.0,0.0
knapsack_n250_seed20251027,ParticleSwarmOptimization,classical,121790.0,0.8252963999984786,121865.0,0.061543511262462554
knapsack_n250_seed20251027,AntColonyOptimization,classical,121699.0,4.05190770002082,121865.0,0.1362163049275838
knapsack_n250_seed20251027,Greedy_Value,classical,121567.0,0.00010409997776150703,121865.0,0.24453288474951793
knapsack_n250_seed20251027,Greedy_Weight,classical,111226.0,0.00010000006295740604,121865.0,8.730152217617857
knapsack_n250_seed20251027,GeneticAlgorithm,classical,110578.0,0.4634279999881983,121865.0,9.261888154925533
knapsack_n250_seed20251027,QuantumAnnealing,quantum,98398.0,6.625844500027597,121865.0,19.256554383949453
knapsack_n250_seed20251121,ParticleSwarmOptimization,classical,41378.0,0.8802667000563815,41378.0,0.0
knapsack_n250_seed20251121,Greedy_Ratio,classical,41294.0,0.00013810000382363796,41378.0,0.20300642853690368
knapsack_n250_seed20251121,GeneticAlgorithm,classical,40917.0,0.49182539992034435,41378.0,1.1141186137561023
knapsack_n250_seed20251121,AntColonyOptimization,classical,39171.0,3.98296090005897,41378.0,5.333752235487458
knapsack_n250_seed20251121,Greedy_Weight,classical,35029.0,9.350001346319914e-05,41378.0,15.343902556914301
knapsack_n250_seed20251121,Greedy_Value,classical,33989.0,9.370001498609781e-05,41378.0,17.85731548165692
knapsack_n250_seed20251121,QuantumAnnealing,quantum,28574.0,8.347050199983642,41378.0,30.943979892696603
knapsack_n250_seed20251124,ParticleSwarmOptimization,classical,84789.0,0.8578059999272227,84789.0,0.0
knapsack_n250_seed20251124,Greedy_Ratio,classical,84730.0,0.00012390001211315393,84789.0,0.06958449798912594
knapsack_n250_seed20251124,GeneticAlgorithm,classical,83437.0,0.5462009999901056,84789.0,1.5945464623948862
knapsack_n250_seed20251124,AntColonyOptimization,classical,82144.0,4.014864500029944,84789.0,3.119508426800646
knapsack_n250_seed20251124,Greedy_Value,classical,79934.0,0.00010259996633976698,84789.0,5.7259786057153645
knapsack_n250_seed20251124,Greedy_Weight,classical,77438.0,9.759992826730013e-05,84789.0,8.669756690136692
knapsack_n250_seed20251124,QuantumAnnealing,quantum,65880.0,5.084872400038876,84789.0,22.301241906379367
knapsack_n250_seed20251127,ParticleSwarmOptimization,classical,113622.0,0.8268455000361428,113622.0,0.0
knapsack_n250_seed20251127,Greedy_Ratio,classical,113594.0,0.00012560002505779266,113622.0,0.02464311488972206
knapsack_n250_seed20251127,AntColonyOptimization,classical,112122.0,4.068820400047116,113622.0,1.3201668690922532
knapsack_n250_seed20251127,Greedy_Value,classical,111902.0,0.00010040006600320339,113622.0,1.5137913432257837
knapsack_n250_seed20251127,Greedy_Weight,classical,108466.0,9.750004392117262e-05,113622.0,4.537853584693105
knapsack_n250_seed20251127,GeneticAlgorithm,classical,105254.0,0.4723301000194624,113622.0,7.364770907042651
knapsack_n250_seed20251127,QuantumAnnealing,quantum,100681.0,7.596669099992141,113622.0,11.3895196352819
knapsack_n250_seed20251221,Greedy_Ratio,classical,2125.0,0.00012290000449866056,2125.0,0.0
knapsack_n250_seed20251221,ParticleSwarmOptimization,classical,2125.0,0.8096968999598175,2125.0,0.0
knapsack_n250_seed20251221,AntColonyOptimization,classical,2124.0,4.002190200029872,2125.0,0.047058823529411764
knapsack_n250_seed20251221,Greedy_Weight,classical,2111.0,9.730004239827394e-05,2125.0,0.6588235294117647
knapsack_n250_seed20251221,GeneticAlgorithm,classical,2030.0,0.48804670001845807,2125.0,4.470588235294118
knapsack_n250_seed20251221,Greedy_Value,classical,1843.0,9.079999290406704e-05,2125.0,13.270588235294117
knapsack_n250_seed20251221,QuantumAnnealing,quantum,1635.0,13.541062299977057,2125.0,23.058823529411764
knapsack_n250_seed20251224,AntColonyOptimization,classical,3954.0,4.022918400005437,3954.0,0.0
knapsack_n250_seed20251224,Greedy_Ratio,classical,3954.0,0.0001490999711677432,3954.0,0.0
knapsack_n250_seed20251224,ParticleSwarmOptimization,classical,3954.0,0.8134189998963848,3954.0,0.0
knapsack_n250_seed20251224,Greedy_Weight,classical,3906.0,9.360001422464848e-05,3954.0,1.2139605462822458
knapsack_n250_seed20251224,GeneticAlgorithm,classical,3855.0,0.4661869000410661,3954.0,2.503793626707132
knapsack_n250_seed20251224,Greedy_Value,classical,3740.0,9.06999921426177e-05,3954.0,5.412240768841679
knapsack_n250_seed20251224,QuantumAnnealing,quantum,3379.0,13.292649000068195,3954.0,14.542235710672735
knapsack_n250_seed20251227,AntColonyOptimization,classical,1644.0,3.9737196000060067,1644.0,0.0
knapsack_n250_seed20251227,Greedy_Ratio,classical,1643.0,0.00012510002125054598,1644.0,0.06082725060827251
knapsack_n250_seed20251227,Greedy_Weight,classical,1643.0,9.570003021508455e-05,1644.0,0.06082725060827251
knapsack_n250_seed20251227,ParticleSwarmOptimization,classical,1643.0,0.8110872999532148,1644.0,0.06082725060827251
knapsack_n250_seed20251227,GeneticAlgorithm,classical,1528.0,0.41614359989762306,1644.0,7.0559610705596105
knapsack_n250_seed20251227,Greedy_Value,classical,1494.0,0.00011809996794909239,1644.0,9.124087591240876
knapsack_n250_seed20251227,QuantumAnnealing,quantum,1241.0,13.357473599957302,1644.0,24.51338199513382
knapsack_n500_seed20251022,Greedy_Ratio,classical,117410.0,0.00035440002102404833,117410.0,0.0
knapsack_n500_seed20251022,ParticleSwarmOptimization,classical,117386.0,1.8806491999421269,117410.0,0.02044118899582659
knapsack_n500_seed20251022,GeneticAlgorithm,classical,111436.0,1.115667499951087,117410.0,5.088152627544503
knapsack_n500_seed20251022,AntColonyOptimization,classical,109954.0,15.546598399989307,117410.0,6.350396048036794
knapsack_n500_seed20251022,Greedy_Weight,classical,94628.0,0.00029550003819167614,117410.0,19.40379865428839
knapsack_n500_seed20251022,Greedy_Value,classical,91037.0,0.00025210005696862936,117410.0,22.462311557788944
knapsack_n500_seed20251022,QuantumAnnealing,quantum,73352.0,23.442107400042005,117410.0,37.52491269908867
knapsack_n500_seed20251025,Greedy_Ratio,classical,205859.0,0.0003237000200897455,205859.0,0.0
knapsack_n500_seed20251025,ParticleSwarmOptimization,classical,205847.0,1.8234905999852344,205859.0,0.005829232630101186
knapsack_n500_seed20251025,AntColonyOptimization,classical,201456.0,15.261414100066759,205859.0,2.138842605861293
knapsack_n500_seed20251025,Greedy_Value,classical,193687.0,0.00022689998149871826,205859.0,5.91278496446597
knapsack_n500_seed20251025,GeneticAlgorithm,classical,187554.0,1.0817288999678567,205859.0,8.892008607833517
knapsack_n500_seed20251025,Greedy_Weight,classical,176751.0,0.0002313000150024891,205859.0,14.139775283082109
knapsack_n500_seed20251025,QuantumAnnealing,quantum,140358.0,27.712968899984844,205859.0,31.81838054202148
knapsack_n500_seed20251028,Greedy_Ratio,classical,237590.0,0.0003239000216126442,237590.0,0.0
knapsack_n500_seed20251028,ParticleSwarmOptimization,classical,237548.0,1.7641835000831634,237590.0,0.017677511679784503
knapsack_n500_seed20251028,AntColonyOptimization,classical,236298.0,14.952690699952655,237590.0,0.5437939307209899
knapsack_n500_seed20251028,Greedy_Value,classical,234509.0,0.0002527000615373254,237590.0,1.296771749652763
knapsack_n500_seed20251028,Greedy_Weight,classical,217648.0,0.0002261999761685729,237590.0,8.393450902815774
knapsack_n500_seed20251028,GeneticAlgorithm,classical,202800.0,0.8957287999801338,237590.0,14.642872174754828
knapsack_n500_seed20251028,QuantumAnnealing,quantum,193514.0,22.708366899983957,237590.0,18.551285828528137
knapsack_n500_seed20251122,ParticleSwarmOptimization,classical,87393.0,1.8635812998982146,87393.0,0.0
knapsack_n500_seed20251122,Greedy_Ratio,classical,87102.0,0.00029829994309693575,87393.0,0.332978613847791
knapsack_n500_seed20251122,GeneticAlgorithm,classical,85896.0,1.0267289999173954,87393.0,1.7129518382479145
knapsack_n500_seed20251122,AntColonyOptimization,classical,82655.0,15.317527000093833,87393.0,5.421486846772624
knapsack_n500_seed20251122,Greedy_Weight,classical,79363.0,0.00019749999046325684,87393.0,9.188378931951071
knapsack_n500_seed20251122,Greedy_Value,classical,70603.0,0.00020159990526735783,87393.0,19.21206503953406
